temperature, X, Y, Z
85.00,-4.16,-1.33,-7.53
temperature, X, Y, Z
85.00,-1.10,-0.90,-9.10
temperature, X, Y, Z
85.00,-2.20,-1.45,-8.12
temperature, X, Y, Z
85.00,-2.20,0.04,-7.88
temperature, X, Y, Z
85.00,0.82,-1.02,-10.51
temperature, X, Y, Z
85.00,-1.88,0.08,-9.18
temperature, X, Y, Z
85.00,-1.73,-1.18,-8.51
temperature, X, Y, Z
85.00,-2.47,-0.08,-7.53
temperature, X, Y, Z
85.00,-2.16,0.04,-9.41
temperature, X, Y, Z
85.00,-1.37,-1.73,-8.39
temperature, X, Y, Z
85.00,-2.08,-1.96,-7.53
temperature, X, Y, Z
85.00,-1.77,-0.27,-8.20
temperature, X, Y, Z
85.00,-0.39,0.04,-8.59
temperature, X, Y, Z
85.00,-1.65,-1.49,-10.12
temperature, X, Y, Z
85.00,-2.43,-0.71,-8.39
temperature, X, Y, Z
85.00,-0.71,-1.33,-7.53
temperature, X, Y, Z
85.00,-0.71,-0.51,-8.16
temperature, X, Y, Z
85.00,-2.28,-1.88,-7.77
temperature, X, Y, Z
85.00,-3.96,-0.43,-8.04
temperature, X, Y, Z
85.00,-3.65,-0.78,-9.41
temperature, X, Y, Z
85.00,-1.37,-1.26,-8.16
temperature, X, Y, Z
85.00,-3.84,-0.98,-7.85
temperature, X, Y, Z
85.00,-0.71,-3.69,-8.59
temperature, X, Y, Z
85.00,-2.51,-3.26,-8.83
temperature, X, Y, Z
85.00,-2.08,-0.08,-7.34
temperature, X, Y, Z
85.00,-2.79,-1.18,-8.00
temperature, X, Y, Z
85.00,-1.53,-0.43,-8.67
temperature, X, Y, Z
85.00,0.16,-1.10,-8.47
temperature, X, Y, Z
85.00,-3.57,1.49,-9.41
temperature, X, Y, Z
85.00,-2.63,-0.86,-9.53
temperature, X, Y, Z
85.00,-1.92,-2.16,-7.45
temperature, X, Y, Z
85.00,-2.28,0.24,-9.92
temperature, X, Y, Z
85.00,-4.24,-0.71,-7.85
temperature, X, Y, Z
85.00,-1.41,-0.51,-8.98
temperature, X, Y, Z
85.00,-4.39,0.78,-5.88
temperature, X, Y, Z
85.00,-1.14,-0.51,-7.53
temperature, X, Y, Z
85.00,-2.00,2.28,-7.65
temperature, X, Y, Z
85.00,-2.51,-0.35,-8.28
temperature, X, Y, Z
85.00,-2.43,-0.04,-7.88
temperature, X, Y, Z
85.00,-2.82,0.00,-6.32
temperature, X, Y, Z
85.00,-0.75,-1.61,-8.55
temperature, X, Y, Z
85.00,-0.16,-1.53,-9.38
temperature, X, Y, Z
85.00,-1.49,-0.27,-10.04
temperature, X, Y, Z
85.00,-2.71,-0.12,-7.18
temperature, X, Y, Z
85.00,-4.04,-2.08,-7.49
temperature, X, Y, Z
85.00,-3.80,-0.78,-6.32
temperature, X, Y, Z
