temperature, X, Y, Z
temperature, X, Y, Z
85.00,-2.31,-1.33,-7.85
temperature, X, Y, Z
85.00,-0.47,1.22,-9.53
temperature, X, Y, Z
85.00,-3.06,-1.53,-7.53
temperature, X, Y, Z
85.00,-1.53,0.94,-8.32
temperature, X, Y, Z
85.00,-2.31,0.04,-7.85
temperature, X, Y, Z
85.00,-3.10,-2.24,-8.20
temperature, X, Y, Z
85.00,-0.35,-1.22,-7.10
temperature, X, Y, Z
85.00,-1.61,-2.55,-6.63
temperature, X, Y, Z
85.00,-2.24,0.47,-7.30
temperature, X, Y, Z
85.00,-2.28,-1.80,-8.36
temperature, X, Y, Z
85.00,-1.33,-2.79,-8.39
temperature, X, Y, Z
85.00,-2.00,0.04,-11.14
temperature, X, Y, Z
85.00,-2.43,0.16,-8.20
temperature, X, Y, Z
85.00,-2.28,0.75,-8.47
temperature, X, Y, Z
85.00,-1.26,-1.88,-6.98
temperature, X, Y, Z
85.00,-2.47,-2.59,-6.90
temperature, X, Y, Z
85.00,-2.31,-2.39,-9.18
temperature, X, Y, Z
85.00,-2.90,-2.31,-8.47
temperature, X, Y, Z
85.00,-2.20,-3.10,-7.65
temperature, X, Y, Z
85.00,-1.45,-0.12,-8.63
temperature, X, Y, Z
85.00,-1.53,-0.04,-8.55
temperature, X, Y, Z
85.00,-3.22,-1.18,-7.53
temperature, X, Y, Z
85.00,-1.84,-1.18,-6.94
temperature, X, Y, Z
85.00,-3.30,-3.18,-8.98
temperature, X, Y, Z
85.00,-2.28,-1.57,-8.28
temperature, X, Y, Z
85.00,-3.96,-2.63,-7.73
temperature, X, Y, Z
85.00,-3.37,-1.37,-9.02
temperature, X, Y, Z
85.00,-0.75,-1.22,-9.18
temperature, X, Y, Z
85.00,-3.30,-2.35,-6.63
temperature, X, Y, Z
85.00,-2.35,-1.33,-8.47
temperature, X, Y, Z
85.00,-2.04,-0.98,-8.32
temperature, X, Y, Z
85.00,-3.45,-0.86,-10.28
temperature, X, Y, Z
85.00,-3.22,-1.41,-8.59
temperature, X, Y, Z
85.00,-5.22,-1.57,-6.71
temperature, X, Y, Z
85.00,-2.59,-1.37,-8.20
temperature, X, Y, Z
85.00,-3.69,-1.69,-8.00
temperature, X, Y, Z
85.00,-2.43,-0.12,-8.04
temperature, X, Y, Z
85.00,-1.22,-1.57,-9.85
temperature, X, Y, Z
85.00,-0.67,1.29,-8.63
temperature, X, Y, Z
85.00,-1.37,-1.10,-7.53
temperature, X, Y, Z
85.00,-2.16,-2.00,-7.65
temperature, X, Y, Z
85.00,-1.29,-0.47,-8.04
temperature, X, Y, Z
85.00,-1.33,0.63,-9.65
temperature, X, Y, Z
85.00,-2.75,-0.55,-9.49
temperature, X, Y, Z
85.00,-3.37,-2.35,-7.77
temperature, X, Y, Z
85.00,-2.24,-1.02,-8.32
temperature, X, Y, Z
85.00,-2.00,-0.82,-8.24
temperature, X, Y, Z
85.00,-3.30,-0.63,-9.10
temperature, X, Y, Z
85.00,-3.06,-0.51,-10.00
temperature, X, Y, Z
85.00,-2.39,-0.78,-8.71
temperature, X, Y, Z
85.00,-2.59,-3.02,-7.81
temperature, X, Y, Z
85.00,-2.67,-2.55,-8.90
temperature, X, Y, Z
85.00,-1.88,-1.77,-7.37
temperature, X, Y, Z
85.00,-0.71,-0.78,-9.53
temperature, X, Y, Z
85.00,-1.65,-1.18,-8.67
temperature, X, Y, Z
85.00,-1.02,-1.33,-8.51
temperature, X, Y, Z
85.00,-0.55,-0.82,-8.08
temperature, X, Y, Z
85.00,-2.35,0.00,-8.20
temperature, X, Y, Z
85.00,-3.84,-1.22,-7.88
temperature, X, Y, Z
85.00,-3.37,-1.88,-6.75
temperature, X, Y, Z
85.00,-3.69,-0.75,-7.65
temperature, X, Y, Z
85.00,-2.82,-0.94,-7.37
temperature, X, Y, Z
85.00,-2.16,-1.96,-12.16
temperature, X, Y, Z
85.00,-2.31,0.20,-9.26
temperature, X, Y, Z
85.00,-1.80,-1.18,-9.77
temperature, X, Y, Z
85.00,-2.04,-1.92,-9.45
temperature, X, Y, Z
85.00,-2.16,-0.31,-9.41
temperature, X, Y, Z
85.00,-2.79,-0.63,-9.73
temperature, X, Y, Z
85.00,-0.04,-0.31,-8.63
temperature, X, Y, Z
85.00,-2.51,-1.77,-9.96
temperature, X, Y, Z
85.00,-0.59,-0.55,-8.67
temperature, X, Y, Z
85.00,-1.57,-0.94,-6.59
temperature, X, Y, Z
85.00,-2.43,0.24,-9.06
temperature, X, Y, Z
85.00,-2.31,-0.04,-7.92
temperature, X, Y, Z
85.00,-4.12,-1.61,-7.96
temperature, X, Y, Z
85.00,0.04,-0.04,-8.12
temperature, X, Y, Z
85.00,-2.59,-0.86,-9.65
temperature, X, Y, Z
85.00,-0.75,-0.86,-12.83
temperature, X, Y, Z
85.00,-1.06,-2.12,-8.87
temperature, X, Y, Z
85.00,-4.55,-1.33,-7.49
temperature, X, Y, Z
85.00,-1.73,-0.63,-7.69
temperature, X, Y, Z
85.00,-1.26,0.31,-7.10
temperature, X, Y, Z
85.00,-1.61,-0.98,-9.34
temperature, X, Y, Z
85.00,-2.39,-0.75,-7.92
temperature, X, Y, Z
85.00,-1.14,-0.75,-8.63
temperature, X, Y, Z
85.00,-0.94,-0.20,-8.59
temperature, X, Y, Z
85.00,-2.04,-0.24,-9.26
temperature, X, Y, Z
85.00,-2.08,-1.61,-8.32
temperature, X, Y, Z
85.00,-2.90,0.24,-8.75
temperature, X, Y, Z
85.00,-3.49,-0.31,-9.61
temperature, X, Y, Z
85.00,-2.90,-1.88,-8.75
temperature, X, Y, Z
85.00,-2.59,-1.41,-8.28
temperature, X, Y, Z
85.00,-2.79,-0.51,-7.65
temperature, X, Y, Z
85.00,-2.47,-0.98,-8.94
temperature, X, Y, Z
85.00,-1.49,0.04,-7.69
temperature, X, Y, Z
85.00,0.04,-0.59,-8.55
temperature, X, Y, Z
85.00,-3.14,-0.59,-8.87
temperature, X, Y, Z
85.00,-2.16,-1.45,-10.08
temperature, X, Y, Z
85.00,-1.49,-0.98,-8.16
temperature, X, Y, Z
85.00,-3.57,-1.88,-9.53
temperature, X, Y, Z
85.00,-0.67,-0.43,-8.63
temperature, X, Y, Z
85.00,-2.55,-1.57,-9.06
temperature, X, Y, Z
85.00,-1.06,0.31,-7.81
temperature, X, Y, Z
85.00,-2.20,-0.43,-7.57
temperature, X, Y, Z
85.00,-3.53,-1.29,-6.75
temperature, X, Y, Z
85.00,-2.86,-1.65,-7.53
temperature, X, Y, Z
85.00,-2.00,0.16,-9.22
temperature, X, Y, Z
85.00,-1.22,-1.18,-8.67
temperature, X, Y, Z
85.00,-2.98,-0.63,-8.87
temperature, X, Y, Z
85.00,-3.96,-2.55,-7.69
temperature, X, Y, Z
85.00,-0.67,0.51,-9.34
temperature, X, Y, Z
85.00,-3.18,-3.37,-8.63
temperature, X, Y, Z
85.00,-2.55,-3.18,-8.20
temperature, X, Y, Z
85.00,-2.59,-1.73,-7.57
temperature, X, Y, Z
85.00,-1.88,0.04,-7.34
temperature, X, Y, Z
85.00,-1.80,-1.57,-8.47
temperature, X, Y, Z
85.00,-1.84,-1.80,-9.38
temperature, X, Y, Z
85.00,-1.57,-1.69,-9.45
temperature, X, Y, Z
85.00,-3.41,-1.41,-9.02
temperature, X, Y, Z
85.00,-3.33,-2.55,-8.16
temperature, X, Y, Z
85.00,-2.79,-1.22,-8.24
temperature, X, Y, Z
85.00,-1.53,-0.43,-7.57
temperature, X, Y, Z
85.00,-2.79,0.00,-7.81
temperature, X, Y, Z
85.00,-2.12,-1.02,-8.71
temperature, X, Y, Z
85.00,-3.45,-2.51,-7.06
temperature, X, Y, Z
85.00,-2.47,-2.12,-8.00
temperature, X, Y, Z
85.00,-2.04,-3.26,-7.65
temperature, X, Y, Z
85.00,-2.31,0.00,-9.65
temperature, X, Y, Z
85.00,-2.59,-2.20,-9.14
temperature, X, Y, Z
85.00,-2.43,-0.35,-7.92
temperature, X, Y, Z
85.00,-2.31,-1.96,-8.59
temperature, X, Y, Z
85.00,-2.47,0.63,-8.20
temperature, X, Y, Z
85.00,-2.67,-1.22,-7.10
temperature, X, Y, Z
85.00,-3.18,-3.41,-8.79
temperature, X, Y, Z
85.00,-0.94,-0.16,-7.88
temperature, X, Y, Z
85.00,-1.33,1.14,-9.34
temperature, X, Y, Z
85.00,-2.67,-1.29,-6.94
temperature, X, Y, Z
85.00,-0.71,-1.10,-6.98
temperature, X, Y, Z
85.00,-1.06,0.47,-9.30
temperature, X, Y, Z
85.00,-2.47,-1.65,-8.36
temperature, X, Y, Z
85.00,-2.75,-0.71,-8.20
temperature, X, Y, Z
85.00,-3.18,-0.90,-8.04
temperature, X, Y, Z
85.00,-0.98,-0.39,-7.57
temperature, X, Y, Z
85.00,-2.20,-0.47,-8.39
temperature, X, Y, Z
85.00,-2.51,0.78,-7.45
temperature, X, Y, Z
85.00,-3.02,-0.31,-9.85
temperature, X, Y, Z
85.00,-2.86,-2.98,-8.32
temperature, X, Y, Z
85.00,-2.55,-1.53,-7.26
temperature, X, Y, Z
85.00,-2.47,-0.59,-8.87
temperature, X, Y, Z
85.00,-1.49,-0.39,-8.36
temperature, X, Y, Z
85.00,-1.80,0.71,-8.12
temperature, X, Y, Z
85.00,-2.28,-0.27,-7.53
temperature, X, Y, Z
85.00,-1.41,0.27,-8.47
temperature, X, Y, Z
85.00,-2.63,-0.59,-8.71
temperature, X, Y, Z
85.00,-1.53,-3.65,-8.16
temperature, X, Y, Z
85.00,-2.67,-1.18,-7.85
temperature, X, Y, Z
85.00,-0.82,-2.59,-7.30
temperature, X, Y, Z
85.00,-2.59,-0.24,-7.45
temperature, X, Y, Z
85.00,-2.67,-2.08,-9.14
temperature, X, Y, Z
85.00,-3.45,-2.39,-8.63
temperature, X, Y, Z
85.00,-1.41,-0.59,-9.18
temperature, X, Y, Z
85.00,-1.84,-0.86,-7.30
temperature, X, Y, Z
85.00,-2.28,-0.78,-6.90
temperature, X, Y, Z
85.00,-1.80,-2.67,-7.53
temperature, X, Y, Z
85.00,-3.18,0.16,-8.16
temperature, X, Y, Z
85.00,-1.77,-1.73,-8.24
temperature, X, Y, Z
85.00,-2.51,-1.41,-9.38
temperature, X, Y, Z
85.00,-0.94,-0.51,-9.18
temperature, X, Y, Z
85.00,-1.96,-0.67,-9.22
temperature, X, Y, Z
85.00,-2.08,-1.06,-8.24
temperature, X, Y, Z
85.00,-2.20,-1.45,-6.83
temperature, X, Y, Z
85.00,-3.18,-1.29,-8.71
temperature, X, Y, Z
85.00,-0.94,-3.10,-8.00
temperature, X, Y, Z
85.00,-2.67,0.08,-8.20
temperature, X, Y, Z
85.00,-1.57,-2.59,-8.67
temperature, X, Y, Z
85.00,-0.27,-2.47,-7.77
temperature, X, Y, Z
85.00,-2.43,-0.94,-8.55
temperature, X, Y, Z
85.00,-0.51,-2.24,-9.10
temperature, X, Y, Z
85.00,-2.00,-0.47,-8.83
temperature, X, Y, Z
85.00,-2.16,1.18,-9.26
temperature, X, Y, Z
85.00,-4.12,-2.43,-8.87
temperature, X, Y, Z
85.00,-1.96,-3.26,-7.85
temperature, X, Y, Z
85.00,-2.08,0.04,-8.36
temperature, X, Y, Z
85.00,-1.29,-1.18,-8.67
temperature, X, Y, Z
85.00,1.26,-3.06,-7.10
temperature, X, Y, Z
85.00,-2.35,0.51,-7.65
temperature, X, Y, Z
85.00,-2.35,1.53,-8.24
temperature, X, Y, Z
85.00,-3.06,0.16,-8.71
temperature, X, Y, Z
85.00,-2.43,-0.43,-9.41
temperature, X, Y, Z
85.00,-1.73,-2.51,-7.92
temperature, X, Y, Z
85.00,-2.12,-1.57,-7.92
temperature, X, Y, Z
85.00,-2.00,-2.04,-8.71
temperature, X, Y, Z
85.00,-1.29,-3.41,-8.12
temperature, X, Y, Z
85.00,-1.92,-1.33,-8.67
temperature, X, Y, Z
85.00,-3.88,-1.84,-6.59
temperature, X, Y, Z
85.00,-2.16,-2.35,-8.43
temperature, X, Y, Z
85.00,-2.04,-0.59,-8.24
temperature, X, Y, Z
85.00,-2.86,-1.73,-7.81
temperature, X, Y, Z
85.00,-1.49,0.55,-9.06
temperature, X, Y, Z
85.00,-1.96,-0.94,-7.45
temperature, X, Y, Z
85.00,-2.08,0.20,-10.32
temperature, X, Y, Z
85.00,-2.47,-2.55,-8.59
temperature, X, Y, Z
85.00,-3.88,-1.92,-7.49
temperature, X, Y, Z
85.00,-2.55,-1.80,-9.89
temperature, X, Y, Z
85.00,-1.77,0.86,-8.71
temperature, X, Y, Z
85.00,-2.75,-0.71,-7.85
temperature, X, Y, Z
85.00,-2.63,-0.78,-8.28
temperature, X, Y, Z
85.00,-3.37,-0.47,-7.65
temperature, X, Y, Z
85.00,-3.22,-3.30,-9.02
temperature, X, Y, Z
85.00,-1.06,-1.96,-9.06
temperature, X, Y, Z
85.00,-1.10,-0.94,-7.57
temperature, X, Y, Z
85.00,-2.75,-2.16,-7.53
temperature, X, Y, Z
85.00,-1.77,-0.47,-7.45
temperature, X, Y, Z
85.00,-2.79,-1.57,-7.49
temperature, X, Y, Z
85.00,-2.04,-1.73,-7.81
temperature, X, Y, Z
85.00,-2.94,-1.88,-8.83
temperature, X, Y, Z
85.00,-2.35,-0.47,-8.47
temperature, X, Y, Z
85.00,-2.31,-1.53,-7.57
temperature, X, Y, Z
85.00,-1.80,-1.02,-8.63
temperature, X, Y, Z
85.00,-3.53,-0.63,-7.57
temperature, X, Y, Z
85.00,-1.92,1.02,-8.43
temperature, X, Y, Z
85.00,-1.33,-0.63,-8.71
temperature, X, Y, Z
85.00,-2.67,-2.55,-9.77
temperature, X, Y, Z
85.00,-2.31,-1.73,-7.57
temperature, X, Y, Z
85.00,-1.84,0.00,-10.87
temperature, X, Y, Z
85.00,-2.00,-0.98,-7.57
temperature, X, Y, Z
85.00,-2.51,-0.94,-8.47
temperature, X, Y, Z
85.00,-2.16,-1.77,-7.85
temperature, X, Y, Z
85.00,-2.24,-1.29,-8.51
temperature, X, Y, Z
85.00,-2.31,-1.57,-7.26
temperature, X, Y, Z
85.00,-2.43,-3.02,-9.18
temperature, X, Y, Z
85.00,-2.08,-0.24,-8.32
temperature, X, Y, Z
85.00,-3.02,-1.10,-8.16
temperature, X, Y, Z
85.00,-0.67,-3.14,-7.49
temperature, X, Y, Z
85.00,-2.79,0.67,-9.65
temperature, X, Y, Z
85.00,-2.39,0.20,-7.96
temperature, X, Y, Z
85.00,-3.06,-1.92,-8.04
temperature, X, Y, Z
85.00,-0.75,-2.20,-8.28
temperature, X, Y, Z
85.00,-2.12,-0.82,-8.59
temperature, X, Y, Z
85.00,-1.61,-2.08,-9.22
temperature, X, Y, Z
85.00,-1.45,-1.88,-9.65
temperature, X, Y, Z
85.00,-1.69,-1.49,-8.36
temperature, X, Y, Z
85.00,-1.53,-1.73,-8.94
temperature, X, Y, Z
85.00,-2.31,-0.59,-8.79
temperature, X, Y, Z
85.00,-1.02,-1.06,-8.20
temperature, X, Y, Z
85.00,-2.28,1.37,-8.51
temperature, X, Y, Z
85.00,-1.37,1.29,-9.45
temperature, X, Y, Z
85.00,-1.37,-3.84,-7.45
temperature, X, Y, Z
85.00,-2.31,-1.33,-9.06
temperature, X, Y, Z
85.00,-2.51,-1.73,-8.51
temperature, X, Y, Z
85.00,-3.14,-3.57,-7.73
temperature, X, Y, Z
85.00,-2.59,-1.26,-8.55
temperature, X, Y, Z
85.00,-1.45,-2.90,-7.81
temperature, X, Y, Z
85.00,-2.67,-0.39,-8.71
temperature, X, Y, Z
85.00,-2.00,0.47,-8.98
temperature, X, Y, Z
85.00,-1.57,0.55,-8.55
temperature, X, Y, Z
85.00,-2.28,-1.53,-9.14
temperature, X, Y, Z
85.00,-2.20,0.00,-9.18
temperature, X, Y, Z
85.00,-0.59,0.04,-7.61
temperature, X, Y, Z
85.00,-2.82,-1.57,-8.71
temperature, X, Y, Z
85.00,-1.10,-1.77,-7.26
temperature, X, Y, Z
85.00,-2.28,-1.26,-10.04
temperature, X, Y, Z
85.00,-0.59,-2.51,-8.39
temperature, X, Y, Z
85.00,-1.41,-0.63,-7.53
temperature, X, Y, Z
85.00,-3.06,-0.04,-8.71
temperature, X, Y, Z
85.00,-2.00,-1.41,-7.61
temperature, X, Y, Z
85.00,-1.14,-0.82,-9.02
temperature, X, Y, Z
85.00,-2.47,-0.98,-8.32
temperature, X, Y, Z
85.00,-2.67,2.04,-10.32
temperature, X, Y, Z
85.00,-3.14,-1.45,-9.02
temperature, X, Y, Z
85.00,-1.33,-2.08,-8.00
temperature, X, Y, Z
85.00,-3.18,-2.47,-9.30
temperature, X, Y, Z
85.00,-1.26,-1.73,-7.45
temperature, X, Y, Z
85.00,-1.53,-0.16,-7.73
temperature, X, Y, Z
85.00,-1.02,-1.22,-7.92
temperature, X, Y, Z
85.00,-2.04,-0.55,-7.85
temperature, X, Y, Z
85.00,-2.82,-2.28,-9.02
temperature, X, Y, Z
85.00,-2.08,-0.39,-7.96
temperature, X, Y, Z
85.00,-2.86,-1.92,-8.83
temperature, X, Y, Z
85.00,-3.10,-0.86,-9.14
temperature, X, Y, Z
85.00,-1.80,-0.98,-7.96
temperature, X, Y, Z
85.00,-2.43,0.59,-9.34
temperature, X, Y, Z
85.00,-2.47,-0.98,-9.85
temperature, X, Y, Z
85.00,-2.86,-1.06,-8.47
temperature, X, Y, Z
85.00,-2.20,-0.71,-8.83
temperature, X, Y, Z
85.00,-4.04,-0.71,-8.71
temperature, X, Y, Z
85.00,-2.59,-1.84,-9.92
temperature, X, Y, Z
85.00,-0.90,0.04,-9.14
temperature, X, Y, Z
85.00,-0.55,-0.71,-9.85
temperature, X, Y, Z
85.00,-2.63,-0.90,-8.16
temperature, X, Y, Z
85.00,-2.71,-1.96,-6.43
temperature, X, Y, Z
85.00,-2.47,-0.59,-9.57
temperature, X, Y, Z
85.00,-3.88,-2.55,-8.59
temperature, X, Y, Z
85.00,-2.98,-0.98,-9.10
temperature, X, Y, Z
85.00,-2.71,-2.75,-7.88
temperature, X, Y, Z
85.00,-2.98,-1.53,-6.79
temperature, X, Y, Z
85.00,-2.39,-2.39,-7.96
temperature, X, Y, Z
85.00,-3.96,-0.55,-8.87
temperature, X, Y, Z
85.00,-1.96,-1.26,-8.36
temperature, X, Y, Z
85.00,-2.51,0.24,-8.63
temperature, X, Y, Z
85.00,-1.77,-0.08,-8.59
temperature, X, Y, Z
85.00,-3.10,-0.59,-8.59
temperature, X, Y, Z
85.00,-1.18,-1.57,-7.22
temperature, X, Y, Z
85.00,-4.16,-0.98,-8.71
temperature, X, Y, Z
85.00,-2.39,-0.86,-8.98
temperature, X, Y, Z
85.00,-1.22,-0.71,-9.77
temperature, X, Y, Z
85.00,-3.06,0.43,-9.14
temperature, X, Y, Z
85.00,-1.77,-2.47,-9.65
temperature, X, Y, Z
85.00,-0.31,-0.31,-9.57
temperature, X, Y, Z
85.00,-1.10,-0.71,-9.85
temperature, X, Y, Z
85.00,-3.65,-1.26,-8.24
temperature, X, Y, Z
85.00,-0.98,0.08,-7.92
temperature, X, Y, Z
85.00,-2.94,-0.75,-6.98
temperature, X, Y, Z
85.00,-1.14,-0.98,-7.88
temperature, X, Y, Z
85.00,-0.12,-0.47,-9.10
temperature, X, Y, Z
85.00,-3.69,-1.37,-7.77
temperature, X, Y, Z
85.00,-2.12,-1.92,-7.57
temperature, X, Y, Z
85.00,-3.30,-0.47,-9.06
temperature, X, Y, Z
85.00,-3.80,-1.41,-8.12
temperature, X, Y, Z
85.00,-2.47,-0.43,-8.20
temperature, X, Y, Z
85.00,-0.90,-0.63,-9.77
temperature, X, Y, Z
85.00,-0.35,-1.92,-8.20
temperature, X, Y, Z
85.00,-3.69,-0.59,-7.96
temperature, X, Y, Z
85.00,-2.08,-1.57,-9.53
temperature, X, Y, Z
85.00,-2.35,0.31,-8.94
temperature, X, Y, Z
85.00,-2.71,-2.16,-7.53
temperature, X, Y, Z
85.00,-1.92,-0.78,-7.77
temperature, X, Y, Z
85.00,-2.20,-1.73,-9.30
temperature, X, Y, Z
85.00,-1.29,-1.57,-7.65
temperature, X, Y, Z
85.00,-2.39,-2.43,-8.71
temperature, X, Y, Z
85.00,-2.51,-1.57,-8.43
temperature, X, Y, Z
85.00,-2.39,-0.08,-8.43
temperature, X, Y, Z
85.00,-2.63,-0.82,-8.87
temperature, X, Y, Z
85.00,-1.33,0.27,-9.10
temperature, X, Y, Z
85.00,-2.90,-0.35,-7.61
temperature, X, Y, Z
85.00,-1.65,-1.14,-8.90
temperature, X, Y, Z
85.00,-1.22,-0.59,-8.75
temperature, X, Y, Z
85.00,-3.69,-1.92,-8.75
temperature, X, Y, Z
85.00,-1.65,-1.73,-9.22
temperature, X, Y, Z
85.00,-4.59,-1.18,-8.08
temperature, X, Y, Z
85.00,-2.86,-1.26,-9.45
temperature, X, Y, Z
85.00,-1.61,-1.22,-8.39
temperature, X, Y, Z
85.00,-2.04,0.24,-9.41
temperature, X, Y, Z
85.00,-3.37,-0.39,-7.53
temperature, X, Y, Z
85.00,-2.31,-0.98,-8.16
temperature, X, Y, Z
85.00,0.16,-2.35,-9.61
temperature, X, Y, Z
85.00,-1.84,-2.08,-8.51
temperature, X, Y, Z
85.00,-2.43,-0.08,-10.00
temperature, X, Y, Z
85.00,-0.16,-1.37,-8.51
temperature, X, Y, Z
85.00,-3.33,-0.08,-7.41
temperature, X, Y, Z
85.00,-2.12,-1.77,-9.30
temperature, X, Y, Z
85.00,-1.69,-0.98,-7.37
temperature, X, Y, Z
85.00,-3.69,-2.12,-8.12
temperature, X, Y, Z
85.00,-2.86,-1.02,-7.81
temperature, X, Y, Z
85.00,-0.20,-1.02,-8.51
temperature, X, Y, Z
85.00,-2.20,-1.65,-7.81
temperature, X, Y, Z
85.00,-2.20,-0.55,-8.28
temperature, X, Y, Z
85.00,-2.28,-1.53,-8.94
temperature, X, Y, Z
85.00,-4.16,-2.24,-9.45
temperature, X, Y, Z
85.00,-3.45,-2.04,-7.61
temperature, X, Y, Z
85.00,-1.88,-2.51,-9.92
temperature, X, Y, Z
85.00,-2.51,-0.20,-9.30
temperature, X, Y, Z
85.00,-2.39,-1.06,-9.14
temperature, X, Y, Z
85.00,-3.77,1.41,-8.39
temperature, X, Y, Z
85.00,-0.71,-1.88,-9.14
temperature, X, Y, Z
85.00,-2.82,-0.86,-7.22
temperature, X, Y, Z
85.00,-3.65,-0.78,-8.83
temperature, X, Y, Z
85.00,-1.37,-1.18,-7.81
temperature, X, Y, Z
85.00,-2.63,-0.24,-9.02
temperature, X, Y, Z
85.00,-2.47,-1.69,-8.36
temperature, X, Y, Z
85.00,-2.86,-0.27,-8.28
temperature, X, Y, Z
85.00,-0.67,-0.47,-8.71
temperature, X, Y, Z
85.00,-2.51,-0.35,-7.45
temperature, X, Y, Z
85.00,-2.35,-0.75,-9.06
temperature, X, Y, Z
85.00,-3.61,-0.51,-7.06
temperature, X, Y, Z
85.00,-2.51,-1.41,-7.96
temperature, X, Y, Z
85.00,-2.04,-0.35,-7.37
temperature, X, Y, Z
85.00,-3.18,-1.26,-8.94
temperature, X, Y, Z
85.00,-1.29,-2.16,-9.96
temperature, X, Y, Z
85.00,-3.45,-0.55,-8.39
temperature, X, Y, Z
85.00,-1.45,-0.20,-9.49
temperature, X, Y, Z
85.00,-2.35,-1.77,-7.73
temperature, X, Y, Z
85.00,-0.75,-0.78,-9.26
temperature, X, Y, Z
85.00,0.55,-0.39,-10.12
temperature, X, Y, Z
85.00,-1.80,-0.35,-8.90
temperature, X, Y, Z
85.00,-1.29,-1.53,-10.08
temperature, X, Y, Z
85.00,-0.98,-0.51,-8.32
temperature, X, Y, Z
85.00,-3.77,-1.06,-9.38
temperature, X, Y, Z
85.00,-0.98,-0.67,-7.45
temperature, X, Y, Z
85.00,-3.53,0.31,-7.96
temperature, X, Y, Z
85.00,-2.79,-0.98,-8.20
temperature, X, Y, Z
85.00,-3.26,-1.26,-7.85
temperature, X, Y, Z
85.00,-1.80,-0.82,-8.71
temperature, X, Y, Z
85.00,-1.45,-1.29,-9.57
temperature, X, Y, Z
85.00,-0.98,-0.51,-10.24
temperature, X, Y, Z
85.00,-2.82,0.00,-8.32
temperature, X, Y, Z
85.00,-1.61,-0.63,-7.77
temperature, X, Y, Z
85.00,-0.51,-1.26,-8.47
temperature, X, Y, Z
85.00,-3.53,-1.26,-7.61
temperature, X, Y, Z
85.00,-1.77,-0.24,-8.43
temperature, X, Y, Z
85.00,-4.00,-0.51,-9.14
temperature, X, Y, Z
85.00,-2.00,-0.63,-6.86
temperature, X, Y, Z
85.00,-2.63,-0.43,-8.00
temperature, X, Y, Z
85.00,-2.94,-0.86,-7.88
temperature, X, Y, Z
85.00,-1.37,-1.22,-8.75
temperature, X, Y, Z
85.00,-3.06,-0.90,-8.08
temperature, X, Y, Z
85.00,-2.16,-0.67,-8.12
temperature, X, Y, Z
85.00,-1.41,-0.39,-8.20
temperature, X, Y, Z
85.00,-0.12,-0.67,-8.47
temperature, X, Y, Z
85.00,-0.67,-1.14,-9.06
temperature, X, Y, Z
85.00,-2.90,-1.61,-7.92
temperature, X, Y, Z
85.00,-2.75,-0.98,-9.06
temperature, X, Y, Z
85.00,-3.06,-1.02,-8.00
temperature, X, Y, Z
85.00,-0.75,-1.18,-8.75
temperature, X, Y, Z
85.00,-3.37,-0.47,-7.85
temperature, X, Y, Z
85.00,-1.73,-0.04,-8.87
temperature, X, Y, Z
85.00,-3.96,-0.71,-9.06
temperature, X, Y, Z
85.00,-2.98,-0.27,-8.94
temperature, X, Y, Z
85.00,-1.92,-1.22,-8.36
temperature, X, Y, Z
85.00,-3.06,-0.20,-7.73
temperature, X, Y, Z
85.00,-3.41,-2.90,-8.79
temperature, X, Y, Z
85.00,-2.94,-0.75,-8.55
temperature, X, Y, Z
85.00,-1.37,-0.78,-7.92
temperature, X, Y, Z
85.00,-3.41,-1.77,-9.69
temperature, X, Y, Z
85.00,-4.28,-0.39,-6.90
temperature, X, Y, Z
85.00,-2.86,-0.71,-6.79
temperature, X, Y, Z
85.00,-3.84,-1.61,-8.75
temperature, X, Y, Z
85.00,-3.26,-1.65,-8.00
temperature, X, Y, Z
85.00,-1.53,-0.43,-8.63
temperature, X, Y, Z
85.00,-3.69,-0.47,-6.20
temperature, X, Y, Z
85.00,-2.47,-0.75,-7.41
temperature, X, Y, Z
85.00,-2.47,-2.20,-9.53
temperature, X, Y, Z
85.00,-2.31,-0.43,-7.92
temperature, X, Y, Z
85.00,-2.16,-1.57,-8.51
temperature, X, Y, Z
85.00,-0.51,-0.43,-10.08
temperature, X, Y, Z
85.00,-1.69,-1.10,-7.45
temperature, X, Y, Z
85.00,-1.14,-0.59,-9.10
temperature, X, Y, Z
85.00,-0.47,-0.94,-8.39
temperature, X, Y, Z
85.00,-2.59,-0.98,-9.06
temperature, X, Y, Z
85.00,-2.28,-1.37,-7.41
temperature, X, Y, Z
85.00,-1.10,-0.47,-8.04
temperature, X, Y, Z
85.00,-0.55,-1.02,-7.85
temperature, X, Y, Z
85.00,-2.16,-0.94,-8.71
temperature, X, Y, Z
85.00,-2.04,-0.39,-8.67
temperature, X, Y, Z
85.00,-2.55,-0.78,-7.88
temperature, X, Y, Z
85.00,-1.37,-1.57,-7.37
temperature, X, Y, Z
85.00,-4.24,-1.69,-7.10
temperature, X, Y, Z
85.00,-1.33,-0.39,-7.69
temperature, X, Y, Z
85.00,-2.82,-1.26,-8.04
temperature, X, Y, Z
85.00,-2.59,-1.53,-10.04
temperature, X, Y, Z
85.00,-1.96,-1.80,-9.81
temperature, X, Y, Z
85.00,-2.24,-1.57,-9.45
temperature, X, Y, Z
85.00,-2.98,-0.67,-9.26
